old_tag,new_tags,count,SURJ Action,SURJ Demo Chapter,SURJ Bay Area,Showing Up for Racial Justice NYC
Involve - Call - Phone Bank - 8/16 - Lead,!Phone Bank,50,,,,
Volunteer Interest - NationBuilder - 2016,?Volunteer,10,,,,
Basebuilding Team,#Basebuilding,5,,,,
NYC_Neighbor_ProspectLefferts,IGNORE,2,,,,
NYC_BB_Jan17,#Basebuilding,23,,,,
dec_training_housing_both_nights,!Training,2,,,,
Involve - Call - Phone Bank - 8/10/16,!Phone Bank,71,,,,
faith_leader_call_1015,#Faith,276,,,,
Faith,#Faith,3413,,,,
NYC_Attend_Canvass_Nov16,?Canvass,13,,,,
NYC_Neighbor,IGNORE,113,,,,
NYC_Canvass,?Canvass,316,,,,
Maybe,IGNORE,1,,,,
december_chapter_training_rsvp,!Training,2,,,,
highlanderretreat2015,IGNORE,48,,,,
filled out volunteer form,?Volunteer,4581,,,,
124surjcallattendees,!Conference Call,482,,,,
Catalyst 2014,IGNORE,309,,,,
NYC_Attend_Jan17_Kensington,IGNORE,37,,,,
NYC_Racism101,IGNORE,48,,,,
SURJ Bay Area - Origin - Action 2017-01,IGNORE,117,,,,
orange/ 5,IGNORE,4,,,,
SURJ Bay Area - Origin - Action 2017-03,IGNORE,52,,,,
surj action -phone bank - training 12/2,"?Phone Bank,!Training Phone Bank",11,,,,
action team,IGNORE,4,,,,
bboctobercall,"#Basebuilding,!Conference Call",210,,,,
NYC_Neighbor_ForestHills,IGNORE,3,,,,
Need email follow-up,IGNORE,858,,,,
bbcalljuly2015,"#Basebuilding,!Conference Call",177,,,,
NYC_Neighbor_WashHeights,IGNORE,3,,,,
#Police Terror,#Police,52,,,,
NYC_OneonOne_Trained,!One on One,24,,,,
NYC_Neighbor_Harlem,IGNORE,1,,,,
!PhoneBank,!Phone Bank,2798,,,,
bbcallseptember2015,"#Basebuilding,!Conference Call",529,,,,
dapl_divest,#DAPL,1600,,,,
!Direct Action,!Direct Action,54,,,,
SURJ Bay Area - Origin - Action 2016-12,IGNORE,36,,,,
Involve - Call - Phone Bank - 8/4/16,"!Phone Bank,!Conference Call",57,,,,
near_DNC_debate,IGNORE,1,,,,
new sanctuary,IGNORE,65,,,,
